Title,Genre,Premiere,Runtime,IMDB Score,Language,Main Genre
Murder to Mercy: The Cyntoia Brown Story,documentary,2020-04-29,97,6.4,English,Documentary
My Own Man,documentary,2014-12-13,81,6.4,English,Documentary
Nappily Ever After,comedy drama,2018-09-21,98,6.4,English,Comedies
Over the Moon,anime musical,2020-10-23,95,6.4,English,Anime
Street Flow,drama,2019-10-12,96,6.4,French,Dramas
Strong Island,documentary,,107,6.4,English,Documentary
Sturgill Simpson Presents: Sound & Fury,anime musical,2019-09-27,41,6.4,English,Anime
Take Your Pills,documentary,2018-03-16,87,6.4,English,Documentary
The Heartbreak Club,comedy drama,2021-01-14,101,6.4,Indonesian,Comedies
The Mars Generation,documentary,2017-05-05,97,6.4,English,Documentary
The Occupant,thriller,2020-03-25,103,6.4,Spanish,Thrillers
The Willoughbys,anime comedy,2020-04-22,90,6.4,English,Anime
Triple Frontier,action thriller,2019-03-13,125,6.4,English,Action & Adventure
Two Catalonias,documentary,2018-09-28,116,6.4,Spanish/Catalan,Documentary
Walk. Ride. Rodeo.,drama,2019-03-08,99,6.4,English,Dramas
Wheelman,action thriller,2017-10-20,82,6.4,English,Action & Adventure
When We First Met,romantic comedy,2018-02-09,97,6.4,English,Romance
A 3 Minute Hug,documentary,2019-10-28,28,6.5,English/Spanish,Shorts
All the Bright Places,romance,2020-02-28,108,6.5,English,Romance
All Together Now,drama,2020-08-28,93,6.5,English,Dramas
Altered Carbon: Resleeved,anime sci-fi,2020-03-19,74,6.5,Japanese,Anime
Antoine Griezmann: The Making of a Legend,documentary,2019-03-21,60,6.5,French,Documentary
Canvas ,anime short,2020-12-11,9,6.5,English,Shorts
Chadwick Boseman: Portrait of an Artist,documentary,2021-04-17,21,6.5,English,Shorts
Chopsticks,comedy,2019-05-31,100,6.5,Hindi,Comedies
Da 5 Bloods,action war,2020-06-12,155,6.5,English,Action & Adventure
Dolly Parton: A MusiCares Tribute,documentary,2021-04-07,55,6.5,English,Documentary
Eurovision Song Contest: The Story of Fire Saga,comedy musical,2020-06-26,123,6.5,English,Comedies
Gerald's Game,horror thriller,2017-09-29,103,6.5,English,Horror & Mystery
His House,thriller,2020-10-30,93,6.5,English,Thrillers
Jingle Jangle: A Christmas Journey,christmas musical,2020-11-13,119,6.5,English,Christmas
Life Overtakes Me,documentary,2019-06-14,40,6.5,English/Swedish,Documentary
Lust Stories,drama,2018-06-15,120,6.5,Hindi,Dramas
Monster,drama,2021-05-07,98,6.5,English,Dramas
Mowgli: Legend of the Jungle,adventure,2018-12-07,104,6.5,English,Action & Adventure
Nobody Knows I'm Here,drama,2020-06-24,91,6.5,Spanish,Dramas
Nobody Speak: Trials of the Free Press,documentary,2017-06-23,95,6.5,English,Documentary
Oxygen,sci-fi thriller,2021-05-12,101,6.5,French,Sci-Fi
Set It Up,romantic comedy,2018-06-15,105,6.5,English,Romance
The Incredible Jessica James,comedy,2017-07-28,83,6.5,English,Comedies
Tigertail,drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,Dramas
Tramps,romance,2017-04-21,83,6.5,English,Romance
What Did Jack Do?,drama short,2020-01-20,17,6.5,English,Shorts
Bad Trip,hidden camera prank comedy,2021-03-26,86,6.6,English,TV show
Bird Box,psychological thriller,2018-12-21,124,6.6,English,Thrillers
Bulbbul,horror,2020-06-24,94,6.6,Hindi,Horror & Mystery
Crazy About Her,romantic comedy,2021-02-26,102,6.6,Spanish,Romance
Elisa & Marcela,romance,2019-06-07,118,6.6,Spanish,Romance
I'll Sleep When I'm Dead,documentary,2016-08-19,79,6.6,English,Documentary
I'm Thinking of Ending Things,psychological thriller,2020-09-04,134,6.6,English,Thrillers
It Takes a Lunatic,documentary,2019-10-25,126,6.6,English,Documentary
Milestone,drama,2021-05-07,98,6.6,Hindi,Dramas
Recovery Boys,documentary,2018-06-29,89,6.6,English,Documentary
ReMastered: Who Killed Jam Master Jay?,documentary,2018-12-07,58,6.6,English,Documentary
Shawn Mendes: In Wonder,documentary,2020-11-23,83,6.6,English,Documentary
Space Sweepers,sci-fi,2021-02-05,136,6.6,Korean,Sci-Fi
The American Meme,documentary,2018-12-07,98,6.6,English,Documentary
The Angel,spy thriller,2018-09-14,114,6.6,English,Thrillers
The Crimes That Bind,crime drama,2020-08-20,99,6.6,Spanish,Thrillers
The Red Sea Diving Resort,spy thriller,2019-07-31,130,6.6,English,Thrillers
What Would Sophia Loren Do?,documentary,2021-01-15,32,6.6,English,Shorts
A Whisker Away,anime fantasy,2020-06-18,104,6.7,Japanese,Anime
Ajeeb Daastaans,drama,2021-04-16,142,6.7,Hindi,Dramas
Arlo the Alligator Boy,anime comedy,2021-04-16,92,6.7,English,Anime
"Bikram: Yogi, Guru, Predator",documentary,2019-11-20,86,6.7,English,Documentary
Blame!,anime sci-fi,2017-05-20,106,6.7,Japanese,Anime
Blue Miracle,drama,2021-05-27,95,6.7,English,Dramas
CounterPunch ,documentary,2017-06-16,91,6.7,English,Documentary
"Crack: Cocaine, Corruption & Conspiracy",documentary,2021-01-11,89,6.7,English,Documentary
Extraction,action,2020-04-24,117,6.7,English,Action & Adventure
Giving Voice,documentary,2020-12-11,90,6.7,English,Documentary
Hillbilly Elegy,drama,2020-11-24,117,6.7,English,Dramas
Hope Frozen: A Quest to Live Twice,documentary,2020-09-15,80,6.7,Thia/English,Documentary
Imperial Dreams,drama,2017-02-03,87,6.7,English,Dramas
Just Another Christmas,christmas comedy,2020-12-03,101,6.7,Portuguese,Christmas
Little Miss Sumo,documentary,2019-10-28,19,6.7,Japanese,Shorts
Malcolm & Marie,romantic drama,2021-02-05,106,6.7,English,Romance
"Michael Bolton's Big, Sexy, Valentine's Day Special",variety show,2017-02-07,54,6.7,English,TV show
Moxie,drama,2021-03-03,111,6.7,English,Dramas
Night in Paradise,drama,2021-04-09,132,6.7,Korean,Dramas
Paper Lives,drama,2021-03-12,97,6.7,Turkish,Dramas
Parchis: The Documentary,documentary,2019-07-10,106,6.7,Spanish,Documentary
Tallulah,comedy drama,2016-07-29,111,6.7,English,Comedies
The Old Guard,action comedy,2020-07-10,124,6.7,English,Action & Adventure
Tony Robbins: I Am Not Your Guru,documentary,,116,6.7,English,Documentary
Upstarts,drama,2019-10-18,112,6.7,Hindi,Dramas
22 July,drama,2018-10-10,144,6.8,English,Dramas
7 aÃÂ±os,drama,2016-10-28,76,6.8,Spanish,Dramas
A Futile and Stupid Gesture,biographical comedy,2018-01-26,101,6.8,English,Dramas
A Life of Speed: The Juan Manuel Fangio Story,documentary,2020-03-20,92,6.8,Spanish,Documentary
A Love Song for Latasha,documentary,2020-09-21,19,6.8,English,Shorts
All in My Family,documentary,2019-05-03,39,6.8,English/Mandarin,Shorts
Always Be My Maybe,romantic comedy,2019-05-31,102,6.8,English,Romance
Becoming,documentary,2020-05-06,89,6.8,English,Documentary
Long Live Brij Mohan,comedy,2018-08-03,105,6.8,Hindi,Comedies
Calibre,thriller,2018-06-29,101,6.8,English,Thrillers
Death to 2020,comedy,2020-12-27,70,6.8,English,Comedies
GIMS: On the Record,documentary,2020-09-17,96,6.8,French,Documentary
Have a Good Trip: Adventures in Psychedelics,documentary,2020-05-11,85,6.8,English,Documentary
Heroin(e) ,documentary,2017-09-12,39,6.8,English,Shorts
Mercury 13,documentary,2018-04-20,79,6.8,English,Documentary
Saving Capitalism,documentary,2017-11-21,73,6.8,English,Documentary
Serious Men,drama,2020-10-02,114,6.8,Hindi,Dramas
The Boys in the Band,drama,2020-09-30,121,6.8,English,Dramas
The Boys in the Band: Something Personal,bonus content,2020-09-30,28,6.8,English,Shorts
The Life Ahead,drama,2020-11-13,95,6.8,Italian,Dramas
The Other Side of the Wind,drama,2018-11-02,122,6.8,English,Dramas
The Trader,documentary,2018-02-09,23,6.8,Georgian,Shorts
To the Bone,drama,2017-07-14,107,6.8,English,Dramas
Tony Parker: The Final Shot,documentary,2021-01-06,98,6.8,French,Documentary
AK vs AK,thriller,2020-12-24,108,6.9,Hindi,Thrillers
Amanda Knox,documentary,2016-09-30,92,6.9,English,Documentary
Bigflo & Oil: Hip Hop Frenzy,documentary,2020-10-08,100,6.9,French,Documentary
Biggie: I Got a Story to Tell,documentary,2021-03-01,97,6.9,English,Documentary
Cops and Robbers,anime short,2020-12-28,7,6.9,English,Shorts
I Don't Feel at Home in This World Anymore,drama,2017-02-24,96,6.9,English,Dramas
Laerte-se,documentary,2017-05-19,100,6.9,Portuguese,Documentary
Mank,biopic,2020-12-04,132,6.9,English,Dramas
Our Souls at Night,romance,2017-09-29,103,6.9,English,Romance
Outlaw King,action war,2018-11-09,121,6.9,English,Action & Adventure
Pagglait,comedy drama,2021-03-26,114,6.9,Hindi,Comedies
ReMastered: Who Shot the Sheriff?,documentary,2018-10-12,57,6.9,English,Documentary
Seeing Allred,documentary,2018-02-09,95,6.9,English,Documentary
Spelling the Dream,documentary,2020-06-03,83,6.9,English,Documentary
The Claudia Kishi Club,documentary,2020-07-10,17,6.9,English,Shorts
The Half of It,romance,2020-05-01,105,6.9,English,Romance
The Highwaymen,crime drama,2019-03-29,131,6.9,English,Thrillers
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,comedy musical,2019-05-23,30,6.9,English,Shorts
The Meyerowitz Stories (New and Selected),comedy drama,2017-10-13,112,6.9,English,Comedies
Feminists: What Were They Thinking?,documentary,2018-10-12,86,7.0,English,Documentary
Gaga: Five Foot Two,documentary,2017-09-22,100,7.0,English,Documentary
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,bonus content,2020-11-03,14,7.0,English,Shorts
Kingdom of Us,documentary,2017-10-13,109,7.0,English,Documentary
"Lorena, Light-Footed Woman",documentary,2019-11-20,28,7.0,Spanish,Shorts
Los Tigres del Norte at Folsom Prison,documentary,2019-09-15,64,7.0,Spanish,Documentary
Ma Rainey's Black Bottom,drama,2020-12-18,94,7.0,English,Dramas
Ma Rainey's Black Bottom: A Legacy Brought to Screen,bonus content,2020-12-18,31,7.0,English,Shorts
Operation Varsity Blues: The College Admissions Scandal,documentary,2021-03-17,99,7.0,English,Documentary
Pele,documentary,2021-02-23,108,7.0,English,Documentary
ReMastered: Devil at the Crossroads,documentary,2019-04-26,48,7.0,English,Documentary
ReMastered: The Lion's Share,documentary,2019-05-17,84,7.0,English,Documentary
ReMastered: The Miami Showband Massacre,documentary,2019-03-22,70,7.0,English,Documentary
Resurface,documentary,2017-09-01,27,7.0,English,Shorts
Rocko's Modern Life: Static Cling,anime comedy,2019-08-09,45,7.0,English,Anime
Rose Island,comedy,2020-12-09,117,7.0,Italian,Comedies
The Christmas Chronicles,christmas comedy,2018-11-22,104,7.0,English,Christmas
The Dirt,biopic,2019-03-22,108,7.0,English,Dramas
The Night Comes for Us,action thriller,2018-10-19,121,7.0,Indonesian,Action & Adventure
13th: A Conversation with Oprah Winfrey & Ava DuVernay,bonus content,2017-01-26,36,7.1,English,Shorts
Angela's Christmas,anime christmas,2018-11-30,30,7.1,English,Anime
Angela's Christmas Wish,anime christmas,2020-12-01,47,7.1,English,Anime
Beats,drama,2019-06-19,110,7.1,English,Dramas
Circus of Books,documentary,2020-04-22,92,7.1,English,Documentary
Dance Dreams: Hot Chocolate Nutcracker,documentary,2020-11-27,80,7.1,English,Documentary
Derren Brown: Sacrifice,documentary reality,2018-10-19,49,7.1,English,Documentary
El Pepe: A Supreme Life,documentary,2019-12-27,73,7.1,Spanish,Documentary
End Game,documentary,2018-05-04,40,7.1,English,Documentary
Evelyn,documentary,2019-09-10,96,7.1,English,Documentary
Ferry,crime drama,2021-05-14,106,7.1,Dutch,Thrillers
Grass Is Greener,documentary,2019-04-20,97,7.1,English,Documentary
Guillermo Vilas: Settling the Score,documentary,2020-10-27,94,7.1,Spanish,Documentary
Joshua: Teenager vs. Superpower,documentary,2017-05-26,78,7.1,English,Documentary
Keith Richards: Under the Influence,documentary,2015-09-18,81,7.1,English,Documentary
Knock Down the House,documentary,2019-05-01,87,7.1,English,Documentary
Loudon Wainwright III: Surviving Twin,one man show,2018-11-13,91,7.1,English,Documentary
My Beautiful Broken Brain,documentary,2016-03-18,91,7.1,English,Documentary
One of Us,documentary,2017-10-20,95,7.1,English,Documentary
Pieces of a Woman,drama,2021-01-07,126,7.1,English,Dramas
"Ram Dass, Going Home",documentary,2018-04-06,31,7.1,English,Shorts
ReMastered: Tricky Dick & the Man in Black,documentary,2018-11-02,58,7.1,English,Documentary
Rooting for Roona,documentary,2020-10-15,41,7.1,Bengali,Documentary
The Devil All the Time,psychological thriller,2020-09-16,138,7.1,English,Thrillers
The Dig,drama,2021-01-29,112,7.1,English,Dramas
The Great Hack,documentary,2019-07-24,114,7.1,English,Documentary
The White Tiger,drama,2021-01-22,125,7.1,English,Dramas
To All the Boys I've Loved Before,romantic comedy,2018-08-17,99,7.1,English,Romance
American Murder: The Family Next Door,documentary,2020-09-30,82,7.2,English,Documentary
Audrie & Daisy,documentary,2016-09-23,98,7.2,English,Documentary
First They Killed My Father,drama,2017-09-15,136,7.2,Khmer/English/French,Dramas
Fyre: The Greatest Party That Never Happened,documentary,2019-01-18,97,7.2,English,Documentary
Into the Inferno,documentary,2016-10-28,107,7.2,English,Documentary
LA Originals,documentary,2020-04-10,92,7.2,English,Documentary
Ladies First,documentary,2018-03-08,39,7.2,English/Hindi,Shorts
Love per Square Foot,romantic comedy,2018-02-14,133,7.2,Hindi,Romance
Paddleton,drama comedy,2019-02-22,89,7.2,English,Dramas
Private Life,drama,2018-10-05,124,7.2,English,Dramas
Seventeen,comedy drama,2019-10-18,99,7.2,Spanish,Comedies
Sometimes,drama,2018-05-01,101,7.2,Tamil,Dramas
Soni,crime drama,2019-01-18,97,7.2,Hindi,Thrillers
The 40-Year-Old Version,comedy,2020-10-09,124,7.2,English,Comedies
The Disciple,drama,2021-04-30,129,7.2,Marathi,Dramas
The Edge of Democracy,documentary,2019-06-19,121,7.2,Portuguese,Documentary
The King,action war,2019-11-01,140,7.2,English,Action & Adventure
The Road to El Camino: A Breaking Bad Movie,bonus content,2019-10-29,13,7.2,English,Shorts
The Siege of Jadotville,action war,2016-10-07,108,7.2,English,Action & Adventure
Zion ,documentary,2018-08-10,11,7.2,English,Shorts
Dolemite Is My Name,biopic,2019-10-25,118,7.3,English,Dramas
El Camino: A Breaking Bad Movie,crime drama,2019-10-11,121,7.3,English,Thrillers
Extremis,documentary,2016-09-13,24,7.3,English,Shorts
Father Soldier Son,documentary,2020-07-17,100,7.3,English,Documentary
Get Me Roger Stone,documentary,2017-05-12,101,7.3,English,Documentary
I'm No Longer Here,drama,2020-05-27,105,7.3,Spanish,Dramas
Mucho Mucho Amor: The Legend of Walter Mercado ,documentary,2020-07-08,96,7.3,Spanish/English,Documentary
Octonauts & the Great Barrier Reef,anime,2020-10-13,47,7.3,English,Anime
Okja,action fantasy,2017-06-28,121,7.3,English/Korean,Action & Adventure
On My Skin,crime drama,2018-09-12,100,7.3,Italian,Thrillers
Raat Akeli Hai,thriller,2020-07-31,149,7.3,Hindi,Thrillers
ReMastered: Massacre at the Stadium,documentary,2019-01-11,64,7.3,English/Spanish,Documentary
ReMastered: The Two Killings of Sam Cooke,documentary,2019-02-08,64,7.3,English,Documentary
Secrets of the Saqqara Tomb,documentary,2020-10-28,114,7.3,English/Arabic,Documentary
Sitara: Let Girls Dream,anime short,2020-03-08,15,7.3,English,Shorts
Sky Ladder: The Art of Cai Guo-Qiang,documentary,2016-10-14,79,7.3,English/Mandarin,Documentary
Team Foxcatcher,documentary,2016-04-29,90,7.3,English/Russian,Documentary
The Ballad of Buster Scruggs,action western,2018-11-16,132,7.3,English,Action & Adventure
The Death and Life of Marsha P. Johnson,documentary,2017-10-06,105,7.3,English,Documentary
The Fundamentals of Caring,comedy drama,2016-06-24,97,7.3,English,Comedies
The Other One: The Long Strange Trip of Bob Weir,documentary,2015-05-22,83,7.3,English,Documentary
American Factory,documentary,2019-08-21,110,7.4,English,Documentary
Fire in Paradise,documentary,2019-11-01,39,7.4,English,Shorts
Long Shot,documentary,2017-09-29,40,7.4,English,Documentary
Miss Americana,documentary,2020-01-31,85,7.4,English,Documentary
Period. End of Sentence.,documentary,2019-02-12,26,7.4,English/Hindi,Shorts
Shawn Mendes: Live in Concert,concert film,2020-11-25,87,7.4,English,Documentary
Shirkers,documentary,2018-10-26,97,7.4,English,Documentary
The Black Godfather,documentary,2019-06-07,118,7.4,English,Documentary
The Irishman: In Conversation,bonus content,2019-11-27,23,7.4,English,Shorts
The Speed Cubers,documentary,2020-07-29,40,7.4,English,Documentary
They'll Love Me When I'm Dead,documentary,2018-11-02,98,7.4,English,Documentary
Tig,documentary,2015-07-17,80,7.4,English,Documentary
"Barbra: The Music, The Mem'ries, The Magic!",concert film,2017-11-22,108,7.5,English,Documentary
Blackpink: Light Up the Sky,documentary,2020-10-14,79,7.5,Korean,Documentary
City of Joy,documentary,2018-09-07,74,7.5,English,Documentary
Dick Johnson Is Dead,documentary,2020-10-02,90,7.5,English,Documentary
Homecoming: A Film by Beyonce ,documentary,2019-04-17,137,7.5,English,Documentary
Invader Zim: Enter the Florpus,anime sci-fi,2019-08-16,71,7.5,English,Anime
Joan Didion: The Center Will Not Hold,documentary,,98,7.5,English,Documentary
John Mulaney & the Sack Lunch Bunch,variety show,2019-12-24,70,7.5,English,TV show
Reversing Roe,documentary,2018-09-13,99,7.5,English,Documentary
The White Helmets,documentary,,40,7.5,English,Documentary
Athlete A,documentary,2020-06-24,104,7.6,English,Documentary
Ludo,dark comedy,2020-11-12,149,7.6,Hindi,Comedies
Quincy,documentary,2018-09-21,124,7.6,English,Documentary
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,documentary,2019-06-12,144,7.6,English,Documentary
Tell Me Who I Am,documentary,2019-10-18,85,7.6,English,Documentary
The Bleeding Edge,documentary,2018-07-27,100,7.6,English,Documentary
The Social Dilemma,documentary,2020-09-09,94,7.6,English,Documentary
The Two Popes,drama,2019-12-20,125,7.6,English,Dramas
"What Happened, Miss Simone?",documentary,2015-06-26,84,7.6,English,Documentary
Yeh Ballet,drama,2020-02-21,117,7.6,Hindi,Dramas
Anima,musical short,2019-06-27,15,7.7,English,Shorts
Beasts of No Nation,action war,2015-10-16,136,7.7,English/Akan,Action & Adventure
Brene Brown: The Call to Courage,documentary,2019-04-19,76,7.7,English,Documentary
Crip Camp: A Disability Revolution,documentary,2020-03-25,108,7.7,English,Documentary
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",documentary,2017-11-17,94,7.7,English,Documentary
Justin Timberlake + The Tennessee Kids,concert film,2016-10-12,90,7.7,English,Documentary
Road to Roma,bonus content,2020-02-11,72,7.7,Spanish,Documentary
Roma,drama,2018-12-14,135,7.7,Spanish,Dramas
If Anything Happens I Love You,anime short,2020-11-20,12,7.8,English,Shorts
The Irishman,crime drama,2019-11-27,209,7.8,English,Thrillers
The Trial of the Chicago 7,drama,2020-10-16,130,7.8,English,Dramas
A Secret Love,documentary,2020-04-29,82,7.9,English,Documentary
Icarus,documentary,2017-08-04,120,7.9,English,Documentary
Marriage Story,drama,2019-12-06,136,7.9,English,Dramas
The Ivory Game,documentary,2016-11-04,112,7.9,English,Documentary
Struggle: The Life and Lost Art of Szukaiski,documentary,2018-12-21,105,8.0,English,Documentary
Chasing Coral ,documentary,2017-07-14,89,8.1,English,Documentary
My Octopus Teacher,documentary,2020-09-07,85,8.1,English,Documentary
Rising Phoenix,documentary,2020-08-26,106,8.1,English,Documentary
13th,documentary,2016-10-07,100,8.2,English,Documentary
Disclosure: Trans Lives on Screen,documentary,2020-06-19,107,8.2,English,Documentary
Klaus,anime christmas,2019-11-15,97,8.2,English,Anime
Seaspiracy,documentary,2021-03-24,89,8.2,English,Documentary
The Three Deaths of Marisela Escobedo,documentary,2020-10-14,109,8.2,Spanish,Documentary
Cuba and the Cameraman ,documentary,2017-11-24,114,8.3,English,Documentary
Dancing with the Birds,documentary,2019-10-23,51,8.3,English,Documentary
Ben Platt: Live from Radio City Music Hall,concert film,2020-05-20,85,8.4,English,Documentary
Taylor Swift: Reputation Stadium Tour,concert film,2018-12-31,125,8.4,English,Documentary
Winter on Fire: Ukraine's Fight for Freedom,documentary,2015-10-09,91,8.4,English/Ukranian/Russian,Documentary
Springsteen on Broadway,one man show,2018-12-16,153,8.5,English,Documentary
Emicida: AmarElo - It's All For Yesterday,documentary,2020-12-08,89,8.6,Portuguese,Documentary
David Attenborough: A Life on Our Planet,documentary,2020-10-04,83,9.0,English,Documentary
